address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2021 Rodelane St,San Diego,CA,92103,2499000,3074.0,3.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2021-Rodelane-St-San-Diego-CA-92103/16952397_zpid/
435 W Thorn St,San Diego,CA,92103,2890001,4800.0,6.0,3.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/435-W-Thorn-St-San-Diego-CA-92103/16971751_zpid/
2500 6th Ave UNIT 405,San Diego,CA,92103,1975000,3228.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2500-6th-Ave-UNIT-405-San-Diego-CA-92103/65398699_zpid/
0 Plumosa Way,San Diego,CA,92103,695000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Plumosa-Way-San-Diego-CA-92103/2107041208_zpid/
4285 Randolph St,San Diego,CA,92103,549900,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4285-Randolph-St-San-Diego-CA-92103/16951135_zpid/
3815 3rd Ave APT 34,San Diego,CA,92103,420000,807.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3815-3rd-Ave-APT-34-San-Diego-CA-92103/65397873_zpid/
Essex St APT 1,San Diego,CA,92103,NA,916.0,2.0,1.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148492969_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Dove St APT 206,San Diego,CA,92103,NA,982.0,2.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/239954759_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Essex St APT 1,San Diego,CA,92103,NA,916.0,2.0,1.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148492969_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3rd Ave UNIT 101,San Diego,CA,92103,NA,1060.0,2.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148493241_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Dove St APT 206,San Diego,CA,92103,NA,982.0,2.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/239954759_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3075 Polk Ave,San Diego,CA,92104,599000,758.0,2.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3075-Polk-Ave-San-Diego-CA-92104/16957348_zpid/
4070 Illinois St APT 1,San Diego,CA,92104,369000,888.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4070-Illinois-St-APT-1-San-Diego-CA-92104/16957351_zpid/
3302 Granada Ave,San Diego,CA,92104,1849999,2018.0,6.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3302-Granada-Ave-San-Diego-CA-92104/16974796_zpid/
2919 Myrtle Ave,San Diego,CA,92104,1084000,NA,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2919-Myrtle-Ave-San-Diego-CA-92104/2093393315_zpid/
3794 35th St,San Diego,CA,92104,449900,1033.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3794-35th-St-San-Diego-CA-92104/16959878_zpid/
3607 Louisiana St,San Diego,CA,92104,749000,960.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3607-Louisiana-St-San-Diego-CA-92104/52517529_zpid/
4175 Swift Ave UNIT 3,San Diego,CA,92104,349900,776.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4175-Swift-Ave-UNIT-3-San-Diego-CA-92104/62773754_zpid/
4252 35th St UNIT 7,San Diego,CA,92104,349000,806.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4252-35th-St-UNIT-7-San-Diego-CA-92104/52517136_zpid/
3544 Texas St,San Diego,CA,92104,999900,1764.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3544-Texas-St-San-Diego-CA-92104/16974071_zpid/
3557 Cherokee Ave,San Diego,CA,92104,599900,1088.0,2.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3557-Cherokee-Ave-San-Diego-CA-92104/16960274_zpid/
3440 Fir St,San Diego,CA,92104,739000,1242.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3440-Fir-St-San-Diego-CA-92104/17078393_zpid/
4381 Oregon St APT 4,San Diego,CA,92104,345000,757.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4381-Oregon-St-APT-4-San-Diego-CA-92104/52516984_zpid/
3537 Granada Ave,San Diego,CA,92104,790000,1456.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3537-Granada-Ave-San-Diego-CA-92104/2092626301_zpid/
3584 Herman Ave,San Diego,CA,92104,769000,1432.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3584-Herman-Ave-San-Diego-CA-92104/16974628_zpid/
2330 29th St,San Diego,CA,92104,1100000,1552.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2330-29th-St-San-Diego-CA-92104/17075499_zpid/
2631 Montclair St,San Diego,CA,92104,994900,1435.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2631-Montclair-St-San-Diego-CA-92104/16977194_zpid/
4329 Utah St,San Diego,CA,92104,750000,1295.0,5.0,3.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4329-Utah-St-San-Diego-CA-92104/16956999_zpid/
2535 Bancroft St,San Diego,CA,92104,829000,1101.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2535-Bancroft-St-San-Diego-CA-92104/17075607_zpid/
3784 Mississippi St,San Diego,CA,92104,849900,1759.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3784-Mississippi-St-San-Diego-CA-92104/16972939_zpid/
4170 Oregon St,San Diego,CA,92104,1500000,NA,0,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4170-Oregon-St-San-Diego-CA-92104/2092634542_zpid/
3829 Alabama St,San Diego,CA,92104,1200000,5662.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3829-Alabama-St-San-Diego-CA-92104/16972992_zpid/
3777 36th St APT 1,San Diego,CA,92104,329000,860.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3777-36th-St-APT-1-San-Diego-CA-92104/52517195_zpid/
3480 Juniper St,San Diego,CA,92104,720000,1400.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3480-Juniper-St-San-Diego-CA-92104/17077651_zpid/
2420 Upas St,San Diego,CA,92104,1599000,2532.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2420-Upas-St-San-Diego-CA-92104/16974378_zpid/
4180 Louisiana St APT 2C,San Diego,CA,92104,275000,576.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4180-Louisiana-St-APT-2C-San-Diego-CA-92104/16955711_zpid/
3958 Louisiana St UNIT 2,San Diego,CA,92104,429900,800.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3958-Louisiana-St-UNIT-2-San-Diego-CA-92104/16956548_zpid/
3950 Ohio St UNIT 408,San Diego,CA,92104,274000,795.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3950-Ohio-St-UNIT-408-San-Diego-CA-92104/72149483_zpid/
4153 Idaho St APT 7,San Diego,CA,92104,299900,510.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4153-Idaho-St-APT-7-San-Diego-CA-92104/63510270_zpid/
4012 Mississippi St UNIT 12,San Diego,CA,92104,289000,547.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4012-Mississippi-St-UNIT-12-San-Diego-CA-92104/66657500_zpid/
3627-3629 33RD St,SAN DIEGO,CA,92104,969000,1718.0,4.0,3.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3627-3629-33RD-St-San-Diego-CA-92104/16957737_zpid/
2083 Haller St,San Diego,CA,92104,442500,1434.0,3.0,3.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/2083-Haller-St-San-Diego-CA-92104/17078933_zpid/
3428 Orange Ave,San Diego,CA,92104,465000,480.0,0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3428-Orange-Ave-San-Diego-CA-92104/16958492_zpid/
3258 N Park Way,San Diego,CA,92104,860000,1867.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3258-N-Park-Way-San-Diego-CA-92104/16957528_zpid/
3451 Fir St,San Diego,CA,92104,1089000,1738.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3451-Fir-St-San-Diego-CA-92104/17078413_zpid/
4203 Idaho St APT 9,San Diego,CA,92104,465000,1060.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4203-Idaho-St-APT-9-San-Diego-CA-92104/16955489_zpid/
4230 Swift Ave,San Diego,CA,92104,729000,NA,0,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4230-Swift-Ave-San-Diego-CA-92104/16958496_zpid/
3809 35th St,San Diego,CA,92104,384900,544.0,1.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3809-35th-St-San-Diego-CA-92104/16959103_zpid/
4262 Wilson Ave UNIT 7,San Diego,CA,92104,195000,540.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4262-Wilson-Ave-UNIT-7-San-Diego-CA-92104/16958543_zpid/
3567 Villa Ter,San Diego,CA,92104,895000,2136.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3567-Villa-Ter-San-Diego-CA-92104/16974185_zpid/
3957 30th St UNIT 308,San Diego,CA,92104,269000,795.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3957-30th-St-UNIT-308-San-Diego-CA-92104/72149352_zpid/
3521 Arizona St,San Diego,CA,92104,750000,806.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3521-Arizona-St-San-Diego-CA-92104/16974142_zpid/
3957 30th St UNIT 405,San Diego,CA,92104,479000,1023.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3957-30th-St-UNIT-405-San-Diego-CA-92104/72149371_zpid/
4352 Swift Ave UNIT 1,San Diego,CA,92104,325000,675.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4352-Swift-Ave-UNIT-1-San-Diego-CA-92104/72109001_zpid/
4247 Hamilton St,San Diego,CA,92104,635000,958.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4247-Hamilton-St-San-Diego-CA-92104/16955473_zpid/
3939 Illinois St APT 4G,San Diego,CA,92104,559000,1198.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3939-Illinois-St-APT-4G-San-Diego-CA-92104/63629318_zpid/
3121 Mckinley St,San Diego,CA,92104,649000,844.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3121-Mckinley-St-San-Diego-CA-92104/16976262_zpid/
3722 32nd St,San Diego,CA,92104,1500000,2796.0,6.0,4.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3722-32nd-St-San-Diego-CA-92104/16973407_zpid/
3950 Ohio St UNIT 424,San Diego,CA,92104,274234,795.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3950-Ohio-St-UNIT-424-San-Diego-CA-92104/72149499_zpid/
2402 Haller St,San Diego,CA,92104,719000,1624.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2402-Haller-St-San-Diego-CA-92104/17077731_zpid/
2949 Nutmeg St,San Diego,CA,92104,829000,2354.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2949-Nutmeg-St-San-Diego-CA-92104/16975715_zpid/
1738 Whaley Ave,San Diego,CA,92104,599999,1302.0,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1738-Whaley-Ave-San-Diego-CA-92104/17078349_zpid/
3382 Myrtle Ave,San Diego,CA,92104,599900,732.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3382-Myrtle-Ave-San-Diego-CA-92104/16975901_zpid/
3036 30th St,San Diego,CA,92104,979000,1714.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3036-30th-St-San-Diego-CA-92104/16975382_zpid/
3640 Arnold Ave,San Diego,CA,92104,1200000,1819.0,5.0,4.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3640-Arnold-Ave-San-Diego-CA-92104/16973636_zpid/
3950 Ohio St UNIT 534,San Diego,CA,92104,429000,1134.0,2.0,2.0,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/3950-Ohio-St-UNIT-534-San-Diego-CA-92104/72149544_zpid/
3509 36th St,San Diego,CA,92104,679000,1298.0,4.0,2.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3509-36th-St-San-Diego-CA-92104/16960256_zpid/
4110 Texas St UNIT 5,San Diego,CA,92104,290000,649.0,1.0,1.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/4110-Texas-St-UNIT-5-San-Diego-CA-92104/16955752_zpid/
2044 Robinson Ave APT C,San Diego,CA,92104,269000,609.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2044-Robinson-Ave-APT-C-San-Diego-CA-92104/16972769_zpid/
3554 Vancouver Ave,San Diego,CA,92104,574899,1560.0,2.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/3554-Vancouver-Ave-San-Diego-CA-92104/16975948_zpid/
3958 Louisiana St UNIT 4,San Diego,CA,92104,295000,615.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3958-Louisiana-St-UNIT-4-San-Diego-CA-92104/16956550_zpid/
2721 28th St,San Diego,CA,92104,1899000,3802.0,5.0,3.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2721-28th-St-San-Diego-CA-92104/16975528_zpid/
4020 Mississippi St UNIT 5,San Diego,CA,92104,379000,931.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4020-Mississippi-St-UNIT-5-San-Diego-CA-92104/66657496_zpid/
3030 Nile St,San Diego,CA,92104,739000,1094.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3030-Nile-St-San-Diego-CA-92104/16976281_zpid/
2173 Haller St,San Diego,CA,92104,499900,1434.0,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/2173-Haller-St-San-Diego-CA-92104/17078967_zpid/
Gregory St,SAN DIEGO,CA,92104,375000,5227.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Gregory-St-San-Diego-CA-92104/99489175_zpid/
4252 35th St UNIT 8,San Diego,CA,92104,359999,806.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4252-35th-St-UNIT-8-San-Diego-CA-92104/16958520_zpid/
4108 Louisiana St,San Diego,CA,92104,950000,1750.0,2.0,2.0,NA,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/4108-Louisiana-St-San-Diego-CA-92104/2103031820_zpid/
2929 28th St,San Diego,CA,92104,1599000,3006.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2929-28th-St-San-Diego-CA-92104/16975296_zpid/
3519 31st St APT 4,San Diego,CA,92104,700000,1514.0,3.0,3.0,NA,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/3519-31st-St-APT-4-San-Diego-CA-92104/16974615_zpid/
2968 Nutmeg St,San Diego,CA,92104,1075000,2657.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2968-Nutmeg-St-San-Diego-CA-92104/16975603_zpid/
3481 Cooper St,San Diego,CA,92104,1395000,2280.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3481-Cooper-St-San-Diego-CA-92104/16976505_zpid/
2505 Lincoln Ave,San Diego,CA,92104,1249900,NA,0,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2505-Lincoln-Ave-San-Diego-CA-92104/2092989630_zpid/
32nd St,San Diego,CA,92104,NA,850.0,2.0,1.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/241589319_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Haller St,San Diego,CA,92104,NA,874.0,2.0,1.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241707221_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Quince St,San Diego,CA,92104,NA,816.0,2.0,1.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241519023_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Hamilton St APT 17,San Diego,CA,92104,NA,620.0,1.0,1.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241707240_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Florida St UNIT 305,San Diego,CA,92104,NA,1198.0,2.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148493029_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
