address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
502 Anita Street 36 # 36,Chula Vista,CA,91911,179900,1474.0,3.0,2.0,NA,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/502-Anita-Street-36-36-Chula-Vista-CA-91911/2092992516_zpid/
29 E Naples St,Chula Vista,CA,91911,445000,1050.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/29-E-Naples-St-Chula-Vista-CA-91911/17110966_zpid/
1100 Industrial Blvd SPC I33,Chula Vista,CA,91911,69900,1200.0,2.0,2.0,NA,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/1100-Industrial-Blvd-SPC-I33-Chula-Vista-CA-91911/2092557531_zpid/
580 Portsmouth Dr UNIT C,Chula Vista,CA,91911,370000,1332.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/580-Portsmouth-Dr-UNIT-C-Chula-Vista-CA-91911/17187071_zpid/
488 Emerson St,Chula Vista,CA,91911,525000,2259.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/488-Emerson-St-Chula-Vista-CA-91911/17151667_zpid/
1002 5th Ave,Chula Vista,CA,91911,525500,1488.0,3.0,2.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/1002-5th-Ave-Chula-Vista-CA-91911/17151525_zpid/
1562 Loma Ln,Chula Vista,CA,91911,539900,2116.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1562-Loma-Ln-Chula-Vista-CA-91911/17158608_zpid/
195 E Naples St,Chula Vista,CA,91911,399000,1681.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/195-E-Naples-St-Chula-Vista-CA-91911/17111045_zpid/
1577 Oleander Ave,Chula Vista,CA,91911,574900,1854.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1577-Oleander-Ave-Chula-Vista-CA-91911/17158232_zpid/
1370 Judson Way,Chula Vista,CA,91911,450000,1452.0,4.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1370-Judson-Way-Chula-Vista-CA-91911/17153663_zpid/
601 Point Caiman Ct,Chula Vista,CA,91911,599000,2399.0,4.0,3.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/601-Point-Caiman-Ct-Chula-Vista-CA-91911/17187263_zpid/
1510 Engleman Ct,Chula Vista,CA,91911,680000,2863.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1510-Engleman-Ct-Chula-Vista-CA-91911/51080776_zpid/
418 1/2 Naples St,Chula Vista,CA,91911,549000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/418-1-2-Naples-St-Chula-Vista-CA-91911/2092599825_zpid/
1425 2nd Ave SPC 30,Chula Vista,CA,91911,92000,1280.0,2.0,2.0,NA,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/1425-2nd-Ave-SPC-30-Chula-Vista-CA-91911/2136796985_zpid/
1542 Connoley Ave,Chula Vista,CA,91911,415000,1404.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1542-Connoley-Ave-Chula-Vista-CA-91911/17156884_zpid/
523 Anita St SPC 9,Chula Vista,CA,91911,38000,500.0,1.0,1.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/523-Anita-St-SPC-9-Chula-Vista-CA-91911/2092684316_zpid/
501 Anita St 34 # 34,Chula Vista,CA,91911,49900,1064.0,1.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/501-Anita-St-34-34-Chula-Vista-CA-91911/2092649669_zpid/
501 Anita St 164 # 164,Chula Vista,CA,91911,75000,1060.0,2.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/501-Anita-St-164-164-Chula-Vista-CA-91911/2092646969_zpid/
184 Tremont St,Chula Vista,CA,91911,375000,624.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/184-Tremont-St-Chula-Vista-CA-91911/17156265_zpid/
502 Anita St SPC 56,Chula Vista,CA,91911,199000,1440.0,3.0,2.0,NA,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/502-Anita-St-SPC-56-Chula-Vista-CA-91911/2092685740_zpid/
953 Barrett Ave,Chula Vista,CA,91911,525000,1700.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/953-Barrett-Ave-Chula-Vista-CA-91911/17110630_zpid/
521 Orange Ave SPC 52,Chula Vista,CA,91911,185000,1440.0,2.0,2.0,NA,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/521-Orange-Ave-SPC-52-Chula-Vista-CA-91911/82932982_zpid/
356 Morehouse Pl,Chula Vista,CA,91911,438950,1480.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/356-Morehouse-Pl-Chula-Vista-CA-91911/82816238_zpid/
305 Montcalm St,Chula Vista,CA,91911,495000,1840.0,3.0,2.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/305-Montcalm-St-Chula-Vista-CA-91911/17176805_zpid/
277 Oxford St APT G,Chula Vista,CA,91911,395000,1316.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/277-Oxford-St-APT-G-Chula-Vista-CA-91911/17152806_zpid/
360-362 Zenith St,Chula Vita,CA,91911,650000,NA,0,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/360-362-Zenith-St-Chula-Vita-CA-91911/2092839465_zpid/
272 Sierra Way,Chula Vista,CA,91911,649900,2338.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/272-Sierra-Way-Chula-Vista-CA-91911/17108978_zpid/
1434 Hilltop Dr # 16,Chula Vista,CA,91911,299000,1296.0,3.0,2.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1434-Hilltop-Dr-16-Chula-Vista-CA-91911/61240963_zpid/
337 E Naples St,Chula Vista,CA,91911,447000,1712.0,5.0,3.5,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/337-E-Naples-St-Chula-Vista-CA-91911/17176851_zpid/
928 Guatay Ave,Chula Vista,CA,91911,489900,1531.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/928-Guatay-Ave-Chula-Vista-CA-91911/17110517_zpid/
1413 La Chica Dr,Chula Vista,CA,91911,542000,2345.0,4.0,3.0,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1413-La-Chica-Dr-Chula-Vista-CA-91911/51080888_zpid/
1462 Princess Manor Ct,Chula Vista,CA,91911,446000,1947.0,5.0,2.0,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1462-Princess-Manor-Ct-Chula-Vista-CA-91911/17154589_zpid/
122 E Rienstra St,Chula Vista,CA,91911,404000,1350.0,3.0,1.5,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/122-E-Rienstra-St-Chula-Vista-CA-91911/17154228_zpid/
00 Zenith St,Chula Vista,CA,91911,101999,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/00-Zenith-St-Chula-Vista-CA-91911/2092997570_zpid/
71 E Emerson St,Chula Vista,CA,91911,497000,2207.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/71-E-Emerson-St-Chula-Vista-CA-91911/17111247_zpid/
00 Zenith St # 000263,Chula Vista,CA,91911,101999,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/00-Zenith-St-000263-Chula-Vista-CA-91911/2093283432_zpid/
1720 Melrose Ave UNIT 46,Chula Vista,CA,91911,360000,1414.0,3.0,2.5,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1720-Melrose-Ave-UNIT-46-Chula-Vista-CA-91911/17159132_zpid/
891 Date Ave,Chula Vista,CA,91911,510000,1400.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/891-Date-Ave-Chula-Vista-CA-91911/17107897_zpid/
1285 Sonoma Ct,Chula Vista,CA,91911,509000,1824.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1285-Sonoma-Ct-Chula-Vista-CA-91911/17155342_zpid/
817 Dorothy St,Chula Vista,CA,91911,1150000,10890.0,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/817-Dorothy-St-Chula-Vista-CA-91911/17155756_zpid/
817 Dorothy St # 817,Chula Vista,CA,91911,1150000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/817-Dorothy-St-817-Chula-Vista-CA-91911/2093283446_zpid/
1640 Maple Dr UNIT 60,Chula Vista,CA,91911,369900,1720.0,3.0,3.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/1640-Maple-Dr-UNIT-60-Chula-Vista-CA-91911/17157292_zpid/
1380 Myra Ct,Chula Vista,CA,91911,749900,3844.0,0,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1380-Myra-Ct-Chula-Vista-CA-91911/17154317_zpid/
1688 Pelican Point Ct,Chula Vista,CA,91911,564395,2223.0,4.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1688-Pelican-Point-Ct-Chula-Vista-CA-91911/17187212_zpid/
1382 Tobias Dr,Chula Vista,CA,91911,519000,1455.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1382-Tobias-Dr-Chula-Vista-CA-91911/17153163_zpid/
467 Oriole Ct,Chula Vista,CA,91911,575000,1662.0,4.0,2.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/467-Oriole-Ct-Chula-Vista-CA-91911/17155635_zpid/
Mission Ave,Chula Vista,CA,91911,NA,2100.0,5.0,3.5,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521223_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Hendrix Pl,Chula Vista,CA,91911,NA,3105.0,4.0,3.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148521224_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Plymouth Ct,Chula Vista,CA,91911,NA,1575.0,4.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148521254_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Sierra Way,Chula Vista,CA,91911,NA,1112.0,3.0,1.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148521263_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
False Point Ct,Chula Vista,CA,91911,NA,2046.0,4.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521300_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Guatay Ave,Chula Vista,CA,91911,NA,1358.0,3.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521305_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Oaklawn Ave,Chula Vista,CA,91911,NA,1588.0,3.0,1.5,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521419_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Zenith St,Chula Vista,CA,91911,NA,1713.0,4.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521430_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Marble Ct,Chula Vista,CA,91911,NA,1611.0,5.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148521478_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2nd Ave,Chula Vista,CA,91911,NA,1152.0,3.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521574_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Tobias Dr,Chula Vista,CA,91911,NA,1575.0,4.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148521582_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Cuyamaca Ave,Chula Vista,CA,91911,NA,2010.0,6.0,4.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521586_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Palm Ave,Chula Vista,CA,91911,NA,764.0,2.0,1.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148521617_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Prospect St,Chula Vista,CA,91911,NA,1040.0,3.0,1.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148521632_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Zenith St,Chula Vista,CA,91911,NA,696.0,2.0,1.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/191087740_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Connoley Cir,Chula Vista,CA,91911,NA,1051.0,3.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521402_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Oneida St,Chula Vista,CA,91911,NA,1503.0,3.0,1.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/190883568_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
L St,Chula Vista,CA,91911,NA,1196.0,3.0,1.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/239954815_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Rienstra St,Chula Vista,CA,91911,NA,1288.0,3.0,1.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/239954847_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Jamul Ave,Chula Vista,CA,91911,NA,1659.0,4.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/240411104_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Prospect St,Chula Vista,CA,91911,NA,1042.0,4.0,1.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521355_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Topaz Ct,Chula Vista,CA,91911,NA,1248.0,4.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241858211_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Walnut Dr,Chula Vista,CA,91911,NA,1116.0,3.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241525373_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Citrus Way,Chula Vista,CA,91911,NA,1051.0,3.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521459_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Maple Dr UNIT 62,Chula Vista,CA,91911,NA,1782.0,3.0,2.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241750462_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Carver St,Chula Vista,CA,91911,NA,1206.0,3.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521559_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Caminito Cortina # 105,Chula Vista,CA,91911,NA,1450.0,3.0,2.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241635275_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Tobias Dr UNIT B,Chula Vista,CA,91911,NA,1224.0,3.0,2.5,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521636_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Moss St UNIT 40,Chula Vista,CA,91911,NA,900.0,2.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521556_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Topaz Ct,Chula Vista,CA,91911,NA,1248.0,4.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241858211_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Tobias Dr UNIT B,Chula Vista,CA,91911,NA,1224.0,3.0,2.5,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521636_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Moss St UNIT 40,Chula Vista,CA,91911,NA,900.0,2.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521556_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Maple Dr UNIT 28,Chula Vista,CA,91911,NA,1576.0,3.0,2.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/148521443_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Naples St,Chula Vista,CA,91911,NA,1666.0,3.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241543130_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Naples St,Chula Vista,CA,91911,NA,1555.0,4.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241543131_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Citrus Way,Chula Vista,CA,91911,NA,1051.0,3.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521459_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Quintard St,Chula Vista,CA,91911,NA,1425.0,3.0,1.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/242027494_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
L St,Chula Vista,CA,91911,NA,2022.0,3.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521557_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Sherwood St,Chula Vista,CA,91911,NA,1083.0,3.0,2.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/242027493_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Raven Ave,Chula Vista,CA,91911,NA,1662.0,4.0,2.0,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241685400_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Prospect St,Chula Vista,CA,91911,NA,1042.0,4.0,1.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/148521355_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2857 Gate Nine Pl,Chula Vista,CA,91914,2200000,6818.0,6.0,8.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2857-Gate-Nine-Pl-Chula-Vista-CA-91914/79569312_zpid/
449 Foggy Point Dr,Chula Vista,CA,91914,1385900,5953.0,6.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/449-Foggy-Point-Dr-Chula-Vista-CA-91914/81962649_zpid/
773 S Fox Run Pl,Chula Vista,CA,91914,829900,3362.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/773-S-Fox-Run-Pl-Chula-Vista-CA-91914/59311684_zpid/
2343 Corte Maduro # 109,Chula Vista,CA,91914,348000,1037.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2343-Corte-Maduro-109-Chula-Vista-CA-91914/67403989_zpid/
2371 Corte Isla UNIT 54,Chula Vista,CA,91914,395000,1285.0,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/2371-Corte-Isla-UNIT-54-Chula-Vista-CA-91914/67404053_zpid/
741 Crooked Path Pl,Chula Vista,CA,91914,855000,3628.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/741-Crooked-Path-Pl-Chula-Vista-CA-91914/59311626_zpid/
3203 Corte Melano # LNP0ZF,Chula Vista,CA,91914,982840,4739.0,5.0,4.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093117714_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2902 Gate Fourteen Pl,Chula Vista,CA,91914,1895000,5442.0,6.0,6.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/2902-Gate-Fourteen-Pl-Chula-Vista-CA-91914/61240670_zpid/
3203 Corte Melano # MLS9SG,Chula Vista,CA,91914,1064130,4164.0,3.0,3.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093117715_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2169 Cabo Bahia,Chula Vista,CA,91914,349900,1216.0,3.0,2.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/2169-Cabo-Bahia-Chula-Vista-CA-91914/52521886_zpid/
2723 Sadlers Creek Rd,Chula Vista,CA,91914,1290000,4090.0,6.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2723-Sadlers-Creek-Rd-Chula-Vista-CA-91914/61217528_zpid/
949 Yosemite Dr,Chula Vista,CA,91914,620000,2160.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/949-Yosemite-Dr-Chula-Vista-CA-91914/61240823_zpid/
368 Plaza Los Osos,Chula Vista,CA,91914,669900,2486.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/368-Plaza-Los-Osos-Chula-Vista-CA-91914/61240907_zpid/
2238 Corte San Simeon,Chula Vista,CA,91914,740000,2936.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2238-Corte-San-Simeon-Chula-Vista-CA-91914/66656583_zpid/
324 Circulo Coronado,Chula Vista,CA,91914,635000,2483.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/324-Circulo-Coronado-Chula-Vista-CA-91914/66110899_zpid/
3191 Via Ponte Tresa,Chula Vista,CA,91914,1179900,4025.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3191-Via-Ponte-Tresa-Chula-Vista-CA-91914/99597136_zpid/
3203 Corte Melano # N2TW6O,Chula Vista,CA,91914,1124000,3873.0,4.0,4.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093117716_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2786 Silver Oak Ct,Chula Vista,CA,91914,979900,4536.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2786-Silver-Oak-Ct-Chula-Vista-CA-91914/66109662_zpid/
521 Old Trail Dr,Chula Vista,CA,91914,729900,2429.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/521-Old-Trail-Dr-Chula-Vista-CA-91914/59311524_zpid/
2152 Cantata Dr UNIT 26,Chula Vista,CA,91914,459000,1372.0,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/2152-Cantata-Dr-UNIT-26-Chula-Vista-CA-91914/67094522_zpid/
2185 Corte Anacapa,Chula Vista,CA,91914,729900,2936.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2185-Corte-Anacapa-Chula-Vista-CA-91914/69021536_zpid/
452 Evening View Dr,Chula Vista,CA,91914,1025000,5286.0,7.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/452-Evening-View-Dr-Chula-Vista-CA-91914/82931013_zpid/
2971 Four Corners St,Chula Vista,CA,91914,955000,4287.0,5.0,5.5,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2971-Four-Corners-St-Chula-Vista-CA-91914/81961223_zpid/
860 Hunters Ridge Pl,Chula Vista,CA,91914,820000,3856.0,5.0,4.5,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/860-Hunters-Ridge-Pl-Chula-Vista-CA-91914/61240714_zpid/
2223 Cabo Bahia Chula Vis,Chula Vista,CA,91914,405000,1216.0,3.0,2.0,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/2223-Cabo-Bahia-Chula-Vis-Chula-Vista-CA-91914/2093109416_zpid/
2285 Huntington Point Rd UNIT 147,Chula Vista,CA,91914,375000,1410.0,2.0,2.5,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/2285-Huntington-Point-Rd-UNIT-147-Chula-Vista-CA-91914/63660616_zpid/
2916 Gate Five Pl,Chula Vista,CA,91914,2500000,5840.0,6.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2916-Gate-Five-Pl-Chula-Vista-CA-91914/61217534_zpid/
374 Plaza Toluca,Chula Vista,CA,91914,664900,2453.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/374-Plaza-Toluca-Chula-Vista-CA-91914/59311885_zpid/
1024 Yosemite Dr,Chula Vista,CA,91914,665000,2923.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1024-Yosemite-Dr-Chula-Vista-CA-91914/61240790_zpid/
446 Evening View Dr,Chula Vista,CA,91914,1166600,5300.0,7.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/446-Evening-View-Dr-Chula-Vista-CA-91914/82936330_zpid/
2815 Savannah Ct,Chula Vista,CA,91914,694000,2825.0,4.0,3.0,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/2815-Savannah-Ct-Chula-Vista-CA-91914/59311804_zpid/
2902 Gate Thirteen Pl,Chula Vista,CA,91914,669000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2902-Gate-Thirteen-Pl-Chula-Vista-CA-91914/99499841_zpid/
